cancer_name,OS,time,average A_Auc,G,G_tilda0,G_tilda1,G_tilda2,G_ind,G_mix,G_NT_ind,G_Sup_ind,G_Unsup_ind,G_NT_mix,G_Sup_mix,G_Unsup_mix,Pattern
PanGyn,DSS,3,0.6934990145355998,0.053099931267419076,-0.013514488795276947,0.08534914756835943,0.16199491559343782,0.10922700370237304,-0.003027141167534886,-0.1216692789968652,-0.022805642633228818,0.05384012539184957,-0.011559561128526852,0.08730407523510952,0.1639498432601879,010
PanGyn,DSS,4,0.7051350181755238,0.028851389860115262,-0.04594123686799523,0.047422818431543945,0.17120162027486208,0.09161866278735653,-0.033915883067125785,-0.14253456221198146,-0.04917050691244229,0.07460829493087584,-0.007050691244239626,0.08631336405529955,0.21009216589861768,010
PanGyn,DSS,5,0.7052898866608543,0.07726051394520872,-0.0031820697868485404,0.0647007053327685,0.197057164662912,0.12918576768189305,0.025335260208524613,-0.13367224880382766,-0.06578947368421062,0.06656698564593289,-0.027212918660286967,0.04066985645933008,0.17302631578947358,111
PanGyn,OS,1,0.6566951538705583,0.01697608679656737,0.06069290095585933,0.021282871457334318,0.12709408089686236,0.035558378316911776,-0.0016062047237772603,0.023303834808259594,-0.01610619469026542,0.08970501474926262,0.06412979351032444,0.024719764011799428,0.13053097345132747,010
PanGyn,OS,2,0.6710338331605431,-0.02610985425708212,-0.04792413997136791,-0.024695568542796642,0.1049330028857749,0.00022094756714885477,-0.05244065608131321,-0.05705714285714292,-0.03382857142857165,0.09579999999999989,0.013428571428571456,0.03665714285714272,0.16628571428571426,001
PanGyn,OS,3,0.6601538745614576,0.06510174655240908,-0.015313736402136513,0.07740643405240888,0.12385529768877257,0.12251955460852904,0.007683938496289233,-0.13920454545454564,-0.046484375000000244,-3.5511363636553384e-05,-0.021626420454545547,0.07109374999999984,0.11754261363636354,011
PanGyn,OS,4,0.6846004439511655,0.05060847446826933,-0.021103684340663675,0.057018730878525714,0.15569532310350498,0.11055246385410922,-0.009335514917570786,-0.13866832092638537,-0.06054590570719598,0.038130686517783285,-0.004755996691480524,0.07336641852770887,0.17204301075268813,010
PanGyn,OS,5,0.6794689603590125,0.07909457864735159,0.0034867562372036254,0.06247195708286957,0.17499838414418023,0.13381027142207813,0.024378885872624823,-0.1295454545454544,-0.07056025369978847,0.0419661733615222,-0.021670190274841405,0.037315010570824536,0.1498414376321352,111
PanGyn,PFI,1,0.6611365751716628,-0.03582822590471546,-0.056905148981638565,-0.03367437975086918,0.08630638947989999,-0.03494347695681921,-0.036712974852611824,-0.024673076923076964,-0.0014423076923075762,0.11853846153846159,-0.017480769230769244,0.005750000000000144,0.1257307692307693,000
PanGyn,PFI,2,0.7135347324764186,0.04076907134261565,0.04716442017982492,0.021385569806854132,0.13358390240887275,0.02813427338799468,0.05340386929723673,0.01770513383062744,-0.008073716542343345,0.10412461605967527,-0.004914436156208901,-0.030693286529179686,0.08150504607283893,111
PanGyn,PFI,3,0.7224341154231068,0.039721969270768875,0.02333993258512701,0.021379148271401416,0.16979787059904217,0.06584827998309073,0.01359565855844691,-0.04414927261227053,-0.046110056925996123,0.10230866540164463,0.01138519924098691,0.009424414927261315,0.15784313725490207,010
PanGyn,PFI,4,0.7500306748466257,0.018636628068807948,-0.0198021071090575,0.011265086566831783,0.22415046206090283,0.0629114370014553,-0.02563818086383929,-0.0866798418972331,-0.05561264822134382,0.15727272727272723,0.009802371541502097,0.04086956521739138,0.25375494071146243,010
PanGyn,PFI,5,0.7723982090681689,0.10121491241977543,0.06590390763508625,0.09336802246762232,0.2708321373001581,0.13999383069399407,0.062435994145556784,-0.07296650717703357,-0.04550239234449749,0.13196172248803828,0.002344497607655316,0.029808612440191395,0.20727272727272716,110
PanSCCs,DSS,3,0.6697215441932168,0.14040850893828793,0.03078894372089669,0.1397019871991576,0.20904981328611405,0.23531605957405421,0.045500958302521655,-0.2082608695652174,-0.09934782608695647,-0.030000000000000027,-0.010978260869565104,0.09793478260869581,0.16728260869565226,110
UCEC,DSS,2,0.6639464285714285,0.013174234846193844,-0.06966738006063844,-0.067959305526477,0.15750653298283984,0.1194111010305442,-0.09306263133815651,-0.19953416149068326,-0.19782608695652182,0.027639751552795022,0.03385093167701869,0.03555900621118013,0.261024844720497,010
UCEC,DSS,3,0.6539336316181953,0.006812094250619016,-0.0970767946382699,-0.07874346130493659,0.12070098313950783,0.08740250338611,-0.07377831488487208,-0.21333333333333326,-0.19499999999999995,0.004444444444444473,0.005555555555555536,0.02388888888888885,0.22333333333333327,010
UCEC,DSS,4,0.6669839449541285,-0.06010651629072683,-0.08905388471177933,-0.10155388471177951,0.08528822055137852,-0.03344402673350044,-0.08676900584795322,-0.09057017543859636,-0.10307017543859653,0.0837719298245615,0.03267543859649136,0.02017543859649118,0.2070175438596492,000
UCEC,DSS,5,0.6749749415302372,-0.010885794995964537,-0.049278652138821655,-0.06713579499596445,0.123935633575464,0.0241974200551055,-0.045969010047034686,-0.10863095238095233,-0.12648809523809512,0.06458333333333333,0.031845238095238204,0.01398809523809541,0.20505952380952386,000
UCEC,OS,2,0.6593742690058481,0.08698096307991254,-0.030953819528783177,0.0019266152538256476,0.1742092239494778,0.18300785361509186,-0.009045927455266778,-0.23600543478260871,-0.2031249999999999,-0.030842391304347738,0.00013586956521727256,0.0330163043478261,0.20529891304347825,010
